col_0,col_1
-129769.0,-46592.0
-14647.0,92856.0
112503.0,-75447.0
46621.0,-132670.0
131083.0,-51179.0
-13987.0,-139259.0
62332.0,-123912.0
124851.0,-61567.0
133970.0,42417.0
-132099.0,-49830.0
3254.0,-140718.0
103427.0,94484.0
-103401.0,97188.0
50053.0,131099.0
2287.0,139584.0
132278.0,44747.0
93728.0,-102049.0
-125895.0,-56325.0
128826.0,-53892.0
-128135.0,-58471.0
-96641.0,-105570.0
125500.0,-58933.0
-128600.0,57580.0
-140765.0,-2347.0
44858.0,-131694.0
4839.0,141119.0
130781.0,-45299.0
133861.0,43758.0
128033.0,-52017.0
134703.0,40902.0
130015.0,60297.0
-50445.0,-129144.0
56507.0,-127207.0
102470.0,-99384.0
104556.0,94395.0
-99034.0,-96275.0
-130243.0,-56836.0
54210.0,-128905.0
-3624.0,-139026.0
139543.0,-4556.0
139609.0,-1791.0
-2107.0,141197.0
-128459.0,56029.0
-59061.0,126490.0
133800.0,52817.0
12014.0,-139854.0
52055.0,-126198.0
-11371.0,-136922.0
3211.0,-140804.0
128610.0,52188.0
-130125.0,-53298.0
95779.0,104009.0
-96430.0,109027.0
61098.0,128879.0
41506.0,-136169.0
-38975.0,-137008.0
143031.0,-3920.0
106814.0,-94484.0
-133046.0,-9171.0
105223.0,-94846.0
52354.0,129448.0
-127088.0,-61514.0
140601.0,-7.0
6408.0,-139900.0
3967.0,142090.0
118895.0,79946.0
-10860.0,141262.0
123415.0,65847.0
-128644.0,51833.0
142857.0,1677.0
59290.0,129151.0
-137658.0,-38062.0
-43869.0,-136066.0
130666.0,-58175.0
-135875.0,-40070.0
85635.0,107943.0
138984.0,-8018.0
-104545.0,94405.0
9784.0,140726.0
-122204.0,68192.0
15093.0,-136961.0
99579.0,95017.0
105050.0,-94378.0
-106574.0,-97577.0
125726.0,55464.0
143.0,141069.0
103050.0,95383.0
129295.0,-60395.0
100951.0,-97238.0
-127386.0,58305.0
129221.0,55644.0
-47464.0,-132614.0
130550.0,-45860.0
-7300.0,135331.0
68428.0,-120654.0
-59184.0,-128417.0
109100.0,91827.0
127074.0,-59880.0
-128897.0,62814.0
-99914.0,-100459.0
-138475.0,303.0
-46512.0,-131049.0
128941.0,-59534.0
-127885.0,-55291.0
-56161.0,-130071.0
-141030.0,1969.0
45627.0,-133422.0
-59702.0,-128128.0
7802.0,141940.0
101723.0,-96015.0
1863.0,-139144.0
-136877.0,8688.0
-11085.0,-139919.0
100230.0,-101863.0
-60872.0,129352.0
-57118.0,128875.0
132180.0,48412.0
2216.0,142818.0
121947.0,59226.0
71632.0,-121987.0
116432.0,-74359.0
-124760.0,65772.0
-6160.0,143245.0
139875.0,-9054.0
54129.0,-135051.0
96102.0,-102172.0
100627.0,99355.0
-130768.0,63839.0
50608.0,133396.0
-59245.0,-128474.0
-87993.0,101430.0
63847.0,-124367.0
-120098.0,-78807.0
-96846.0,-103754.0
56646.0,-130912.0
-52252.0,131057.0
-143548.0,-577.0
-95853.0,-100614.0
142588.0,-3475.0
62043.0,124245.0
95536.0,102156.0
-90634.0,-105626.0
-47111.0,-131677.0
57576.0,127650.0
-97467.0,96844.0
140987.0,-4604.0
-99965.0,99799.0
-99300.0,101918.0
55361.0,-134117.0
-8552.0,137787.0
-45785.0,130520.0
-93753.0,-101636.0
-58696.0,-128381.0
134666.0,44879.0
558.0,140361.0
-58024.0,-127275.0
-104037.0,-97674.0
-49952.0,-135467.0
-128915.0,55402.0
133563.0,-50316.0
133181.0,-53063.0
131792.0,49201.0
54951.0,-128096.0
127328.0,59812.0
123493.0,-63550.0
-141527.0,5090.0
105416.0,90749.0
52953.0,-132594.0
-12701.0,138041.0
144127.0,-4257.0
-69952.0,121520.0
126581.0,54589.0
-14116.0,-139978.0
124675.0,-58933.0
136648.0,-33441.0
131854.0,58363.0
137046.0,40433.0
-129361.0,57394.0
127971.0,-57709.0
-7430.0,-138047.0
-2013.0,-141402.0
63811.0,123629.0
140182.0,4960.0
141261.0,-1932.0
101828.0,-97865.0
103216.0,93085.0
52745.0,130333.0
125465.0,57187.0
100070.0,97466.0
107855.0,93502.0
-97527.0,104096.0
-140947.0,1884.0
2573.0,-140298.0
-139420.0,-6650.0
107401.0,-93489.0
-97908.0,100202.0
6012.0,-139764.0
-43348.0,134966.0
79939.0,116050.0
-133742.0,44449.0
-140631.0,2870.0
102668.0,94576.0
-54423.0,128783.0
-53338.0,-127853.0
-61028.0,128389.0
108860.0,92436.0
102708.0,102518.0
-133810.0,-38246.0
95104.0,102888.0
-92619.0,-103103.0
128840.0,-62315.0
-98192.0,-100524.0
-10870.0,140488.0
-50510.0,-134983.0
-102980.0,97490.0
4668.0,136447.0
-28995.0,137934.0
-130686.0,-49637.0
31664.0,140461.0
129866.0,-53739.0
2655.0,147479.0
139363.0,5070.0
-130731.0,56694.0
-96722.0,-102239.0
91472.0,-101439.0
134958.0,48167.0
126675.0,-55144.0
-12385.0,140232.0
-46173.0,131728.0
41447.0,-135770.0
-100745.0,-99570.0
4070.0,140638.0
47539.0,-130256.0
-106499.0,-89262.0
87625.0,-107009.0
-95986.0,-102342.0
-144334.0,-6061.0
-140025.0,3844.0
-105752.0,92564.0
-50622.0,-131779.0
-132560.0,-47289.0
-131011.0,-51951.0
101680.0,-100573.0
47181.0,-133203.0
96880.0,100889.0
-89749.0,106683.0
127351.0,58041.0
-99326.0,101113.0
-97777.0,-103122.0
-124246.0,60906.0
-106692.0,93294.0
133705.0,-44980.0
1294.0,140092.0
122632.0,65425.0
124147.0,-62258.0
136262.0,6887.0
-143680.0,-1335.0
61511.0,-125386.0
-143655.0,-9597.0
-127230.0,61091.0
-40441.0,-137645.0
-96338.0,101481.0
-129215.0,52674.0
-85999.0,109854.0
-137524.0,-7717.0
-131516.0,47807.0
51124.0,-129948.0
50089.0,131331.0
-130582.0,-51830.0
59857.0,128690.0
-104430.0,-91485.0
-103257.0,93410.0
-55056.0,129096.0
-131894.0,-49841.0
101890.0,95047.0
-59985.0,125603.0
52396.0,-129052.0
-122925.0,62126.0
-135265.0,-2786.0
137521.0,3582.0
-97416.0,-101834.0
142213.0,-4967.0
-102608.0,91269.0
-137695.0,8874.0
-107906.0,92251.0
7704.0,-136841.0
-8548.0,142268.0
-58827.0,-127255.0
56334.0,-130173.0
-140681.0,9005.0
125177.0,-60567.0
-102167.0,96306.0
100793.0,97508.0
102576.0,92009.0
-13200.0,-141384.0
-134340.0,-45275.0
-102219.0,98159.0
4110.0,-139465.0
-131588.0,46988.0
125319.0,55706.0
142516.0,5945.0
137168.0,2286.0
97101.0,-104630.0
-5031.0,-144308.0
-95565.0,-99786.0
-141452.0,10150.0
-119041.0,69860.0
102256.0,-102413.0
-49508.0,127111.0
131227.0,-49909.0
105658.0,96732.0
-1178.0,136771.0
8547.0,-138547.0
131405.0,53934.0
60984.0,-129203.0
-112514.0,83262.0
40437.0,131772.0
-94783.0,106454.0
135297.0,46702.0
86264.0,112234.0
50421.0,-133353.0
106695.0,92707.0
138947.0,523.0
-57052.0,128069.0
-120250.0,-69037.0
56714.0,-123118.0
132492.0,48990.0
62932.0,125977.0
-58462.0,-127247.0
-53976.0,-129483.0
143388.0,-7673.0
128467.0,-55070.0
-95852.0,-98895.0
-63267.0,124210.0
-8801.0,-142114.0
138792.0,10688.0
102020.0,94190.0
139360.0,151.0
140666.0,-9279.0
101809.0,95570.0
45386.0,-133306.0
55005.0,-128652.0
-48955.0,-132626.0
-127422.0,63045.0
129500.0,-60104.0
46388.0,-129107.0
-102224.0,-98893.0
101278.0,94614.0
102865.0,98032.0
55464.0,128462.0
141077.0,-3560.0
128186.0,-55052.0
128519.0,55669.0
141730.0,1855.0
-124717.0,-60387.0
93812.0,-101433.0
107525.0,89409.0
58020.0,126646.0
-96581.0,-100731.0
94431.0,-108264.0
-37904.0,133901.0
39604.0,-132866.0
-37766.0,134651.0
-102258.0,-98067.0
-141655.0,-7775.0
1654.0,-141342.0
-93681.0,105877.0
99878.0,100855.0
95233.0,104570.0
-131658.0,-54022.0
3415.0,-141836.0
-125662.0,-60177.0
130080.0,-50841.0
602.0,141244.0
98254.0,-93754.0
-45525.0,131292.0
-52540.0,130206.0
53442.0,128595.0
-3913.0,-139738.0
125517.0,-64805.0
103425.0,96393.0
128954.0,57893.0
-57663.0,129597.0
-95230.0,-99253.0
52702.0,-128420.0
-50324.0,131641.0
123998.0,-60053.0
122784.0,-68381.0
135831.0,-35969.0
141960.0,-21.0
-133980.0,-47901.0
128239.0,54359.0
-132516.0,-48317.0
127166.0,57391.0
104406.0,-94545.0
-111363.0,-89816.0
-50275.0,130560.0
-126706.0,56221.0
125177.0,59238.0
91214.0,-103748.0
-86563.0,-112340.0
-100955.0,-96223.0
67558.0,119948.0
-90352.0,103896.0
129956.0,58249.0
41213.0,133888.0
131646.0,-52473.0
-142004.0,11760.0
127343.0,57310.0
60429.0,128862.0
104441.0,-95297.0
134772.0,42122.0
-54231.0,-127176.0
58774.0,-129073.0
-18321.0,-134750.0
95886.0,99997.0
-133132.0,-42912.0
103115.0,93229.0
66653.0,-121962.0
141618.0,-3090.0
-301.0,140135.0
94343.0,98636.0
-61556.0,-127031.0
139302.0,69.0
-138446.0,12686.0
55530.0,128564.0
132286.0,50065.0
-54584.0,-133285.0
101998.0,98038.0
59707.0,-127188.0
140288.0,-1266.0
-50556.0,-128186.0
-133065.0,-45093.0
9811.0,-141686.0
