col_0,col_1
-12005.0,16173.0
16064.0,-16209.0
-40226.0,-16685.0
-18644.0,-16245.0
1760.0,-23163.0
-13588.0,42357.0
-18476.0,-42591.0
19388.0,-19578.0
18030.0,-19196.0
2580.0,26014.0
-19656.0,-39286.0
-19587.0,42215.0
-39373.0,22960.0
38025.0,17091.0
-18087.0,-3177.0
-16278.0,43036.0
20184.0,42441.0
22297.0,43405.0
26631.0,-2387.0
13075.0,-42101.0
24111.0,40199.0
41785.0,-14136.0
-8528.0,-13601.0
18606.0,-43219.0
14260.0,-18339.0
-10837.0,19991.0
-14828.0,41251.0
-2704.0,25916.0
-43722.0,21522.0
19314.0,-18870.0
17789.0,-19124.0
-1357.0,-19647.0
44890.0,16676.0
-27987.0,-3122.0
42245.0,-21028.0
-40086.0,-15436.0
42110.0,16518.0
46183.0,14197.0
19074.0,-13024.0
-17795.0,45668.0
10440.0,-41165.0
20467.0,46945.0
-14678.0,46634.0
13814.0,-21341.0
14123.0,-18686.0
19827.0,-43705.0
45868.0,-15840.0
20452.0,42511.0
-11374.0,-17160.0
-17538.0,44037.0
2994.0,-22042.0
20927.0,-2834.0
-44306.0,-18257.0
-45429.0,-16566.0
16282.0,43162.0
45601.0,23574.0
-38120.0,-20850.0
23744.0,4573.0
-13894.0,43427.0
18242.0,14572.0
-4409.0,-23257.0
17033.0,17945.0
44340.0,12299.0
-42358.0,-13267.0
-18281.0,15639.0
40778.0,20823.0
19717.0,-40129.0
44406.0,17028.0
-40458.0,-15903.0
-13634.0,24342.0
30686.0,1648.0
-15339.0,41680.0
13596.0,44680.0
-43665.0,17169.0
-640.0,25538.0
-6992.0,-20864.0
-43385.0,-19661.0
17402.0,17915.0
40436.0,21058.0
15307.0,43523.0
-20060.0,-2201.0
-43849.0,-15146.0
-15103.0,-17129.0
-21110.0,-42844.0
-2166.0,24262.0
-22332.0,45169.0
-1732.0,-25399.0
18125.0,44149.0
18128.0,-41961.0
-44701.0,16436.0
-44624.0,-20473.0
-21755.0,-14600.0
-20776.0,-1371.0
10564.0,-41760.0
48757.0,-15047.0
-17125.0,-41804.0
45810.0,-16697.0
43437.0,-19160.0
22357.0,-42379.0
-48979.0,-16464.0
-11590.0,-44792.0
-25656.0,-38724.0
-14549.0,-992.0
-48303.0,-21583.0
34725.0,-39801.0
-44224.0,-18819.0
11904.0,50959.0
-43239.0,3500.0
20620.0,-8316.0
12772.0,-25455.0
-16142.0,-42667.0
-15419.0,14379.0
-16966.0,-15771.0
-19592.0,43596.0
18589.0,-41906.0
44853.0,22297.0
-1936.0,26445.0
43813.0,12596.0
17095.0,44257.0
-22167.0,-3479.0
-20220.0,-40865.0
-15674.0,-21076.0
21014.0,-42148.0
-2843.0,27017.0
-17107.0,45536.0
20927.0,39598.0
6417.0,-17671.0
46121.0,-14158.0
-20954.0,-16735.0
20707.0,-42806.0
19081.0,46672.0
-21645.0,-1331.0
43309.0,19239.0
-534.0,-24333.0
16365.0,-12651.0
-16914.0,-45647.0
43280.0,-9946.0
19344.0,-42791.0
39492.0,-19380.0
20753.0,-44850.0
44640.0,-16823.0
-16343.0,-23533.0
-18646.0,-12608.0
-17907.0,41411.0
-18827.0,-12597.0
-16685.0,-17860.0
43530.0,-19981.0
-13072.0,14714.0
12892.0,-13761.0
16363.0,-46729.0
-1200.0,-18328.0
-19937.0,-4806.0
15777.0,-13617.0
6989.0,24547.0
12443.0,-40748.0
-17601.0,-23041.0
13620.0,19088.0
-48073.0,-10228.0
-24388.0,261.0
-15682.0,-44470.0
10151.0,-15284.0
-43161.0,13475.0
43581.0,20553.0
24236.0,233.0
-24966.0,3711.0
-19826.0,39664.0
2081.0,-26580.0
-45260.0,14643.0
-26037.0,-38730.0
-16731.0,-41057.0
43708.0,15422.0
-44249.0,-21023.0
-23593.0,1574.0
20148.0,-2062.0
-12986.0,20439.0
-15158.0,19634.0
18639.0,-15944.0
23739.0,-571.0
18780.0,-14229.0
-16106.0,14929.0
-36213.0,22417.0
42527.0,-20947.0
28990.0,-1377.0
-489.0,-25421.0
-24572.0,-2807.0
46919.0,15239.0
-2751.0,24731.0
43675.0,18704.0
17456.0,40645.0
-18477.0,-16766.0
43623.0,20896.0
16028.0,17072.0
19637.0,44372.0
